Rpl13a-ps1
Rpl7a-ps2
Rpl7a-ps3
Rpl7a-ps5
Rpl7a-ps6
Rpl7a-ps7
Rpl7a-ps8
Rpl7a-ps9
Rpl7l1
Rpl7l1-ps1
Rpl8
Rpl9
Rpl9-ps1
Rpl9-ps2
Rpl9-ps3
Rpl9-ps4
Rpl9-ps5
Rpl9-ps6
Rpl9-ps7
Rpl9-ps8
Rpl9-ps9
Rplp0
Rplp0-ps1
Rplp1
Rplp1-ps1
Rplp1rt
Rplp2
Rplp2-ps1
Rps10
Rps10-ps1
Rps10-ps2
Rps10-ps3
Rps10-ps4
Rps11
Rps11-ps1
Rps11-ps2
Rps11-ps3
Rps11-ps4
Rps11-ps5
Rps12
Rps12-ps1
Rps12-ps10
Rps12-ps11
Rps12-ps12
Rps12-ps13
Rps12-ps14
Rps12-ps15
Rps12-ps16
Rps12-ps17
Rps12-ps18
Rps12-ps19
Rps12-ps2
Rps12-ps20
Rps12-ps21
Rps12-ps22
Rps12-ps23
Rps12-ps24
Rps12-ps3
Rps12-ps4
Rps12-ps5
Rps12-ps6
Rps12-ps7
Rps12-ps9
Rps12l1
Rps13
Rps13-ps1
Rps13-ps2
Rps13-ps4
Rps13-ps5
Rps13-ps6
Rps14
Rps15
Rps15-ps2
Rps15-ps3
Rps15a
Rps15a-ps1
Rps15a-ps2
Rps15a-ps3
Rps15a-ps4
Rps15a-ps5
Rps15a-ps6
Rps15a-ps7
Rps15a-ps8
Rps16
Rps16-ps2
Rps16-ps3
Rps17
Rps17-ps1
Rps18
Rps18-ps1
Rps18-ps2
Rps18-ps3
Rps18-ps4
Rps18-ps5
Rps18-ps6
Rps19
Rps19bp1
Rps19-ps1
Rps19-ps10
Rps19-ps11
Rps19-ps12
Rps19-ps13
Rps19-ps2
Rps19-ps3
Rps19-ps4
Rps19-ps5
Rps19-ps6
Rps19-ps7
Rps19-ps8
Rps19-ps9
Rps2
Rps2-ps10
Rps2-ps11
Rps2-ps12
Rps2-ps13
Rps2-ps2
Rps2-ps3
Rps2-ps4
Rps2-ps5
Rps2-ps6
Rps2-ps7
Rps2-ps8
Rps2-ps9
Rps20
Rps21
Rps23
Rps23-ps1
Rps23-ps2
Rps23rg1
Rps24
Rps24-ps2
Rps24-ps3
Rps25
Rps25-ps1
Rps26
Rps26-ps1
Rps27
Rps27-ps1
Rps27-ps2
Rps27rt
Rps27a
Rps27a-ps1
Rps27a-ps2
Rps27a-ps3
Rps27l
Rps28
Rps29
Rps29-ps
Rps3
Rps3a1
Rps3a2
Rps3a3
Rpsa-ps4
Rps4x
Rps4l
Rps4l-ps
Rps5
Rps6
Rps6kc1
Rps6ka1
Rps6ka3
Rps6ka6
Rskr
Rps6kb1
Rps6ka2
Rps6kb2
Rps6ka4
Rps6ka5
Rps6kl1
Rps6-ps1
Rps6-ps2
Rps6-ps3
Rps6-ps4
Rps7
Rps7-ps1
Rps7-ps2
Rps7-ps3
Rps8
Rps8-ps1
Rps8-ps2
Rps8-ps3
Rps8-ps4
Rps8-ps5
Rps9
Rpsa
Rpsa-ps1
Rpsa-ps10
Rpsa-ps11
Rpsa-ps12
Rpsa-ps2
Rpsa-ps3
Rpsa-ps5
Rpsa-ps6
Rpsa-ps7
Rpsa-ps8
Rpsa-ps9
Uba52
Uba52rt
LOC100042019
LOC118567361
Uba52-ps
